Day,T,W,SR,DSP,DRH,PanE
137,19.4,3.922,682.1,99.7,48,8.5
138,18.5,3.152,713.6,99.9,52,7.8
139,16.6,2.619,388,99.9,64,4
140,16,2.332,271,100,63,3
141,18.6,3.685,627,100.4,56,7.1
142,20.2,3.931,666,100.4,50,8.8
143,20.3,4.104,697.4,100.2,38,10
144,16.2,4.628,608.1,100.3,48,7.5
145,15.1,4.004,572.7,100,48,6.5
146,16.4,3.344,630,100.1,52,6.7
147,17.9,3.079,701.9,100.2,52,7.7
148,20,3.007,664.8,100.3,44,8.3
149,20,4.018,667.1,100.3,45,9.1
150,21,3.029,657,100.3,39,8.8
151,21.4,4.227,737.9,100.4,49,10.2
152,23.7,2.665,738.4,100.2,40,10.2
153,28.6,2.847,720.3,100.1,33,12
154,30.3,2.66,693,100.1,31,12.3
155,27.7,3.567,647.5,100.1,37,11.6
156,23.4,3.508,452.7,100.1,52,7.1
157,25.9,3.198,444.4,100.1,51,7.5
158,26.8,3.134,603.9,100,45,9.5
159,26.8,4.073,720,100,39,12.3
160,27.1,3.804,738.7,99.8,37,12.7
161,27.5,3.366,711.2,99.6,34,12.2
162,27.5,3.54,685.2,99.8,37,11.8
163,29.3,3.676,733.9,100.2,33,13.6
164,28.5,3.644,679.3,100.1,36,12.3
165,22.9,4.724,679.2,100.1,44,10.8
166,21.3,3.899,738.9,100.4,46,10.2
167,22.5,3.836,715.9,100.2,44,10.2
168,22.4,3.972,734.1,100.3,37,11.1
169,22.5,3.485,746.3,100.4,40,10.7
170,24.4,3.799,750.9,100.1,37,11.6
171,22.5,4.332,721,100.1,41,10.8
172,22.6,5.448,713.7,100.1,47,11.2
173,23.5,2.487,713,100.2,42,9.6
174,27.3,3.157,711.8,100,33,11.9
175,29.6,3.234,726.3,100,28,13.5
176,30.8,3.143,714.5,99.9,31,13.5
177,31,3.161,691.1,100,31,13.3
178,28.9,3.371,678.5,100,31,12.5
179,26.1,3.622,725.5,100,37,11.8
180,25.4,4.004,743,99.9,43,11.5
181,24.9,4.118,718.7,99.9,42,11.3
182,23.5,3.776,742.1,100.2,44,10.8
183,24.7,4.109,739.1,100.1,38,11.9
184,23,4.824,738.1,100,40,11.8
185,22.7,3.995,724.8,100.1,40,10.9
186,24.7,3.758,750.6,100,36,11.8
187,26.1,3.157,747,100,33,12
188,28.5,3.722,714.4,99.9,33,13.1
189,26.9,3.53,735.6,99.6,36,12.4
190,28.4,3.107,675.1,99.5,36,11.6
191,26.2,3.407,738,99.6,39,11.6
192,25,3.225,733.7,100,43,10.7
193,27.4,4.141,704.3,100.2,41,12.3
195,31.7,3.061,681.2,99.8,34,12.7
196,32.2,3.221,698.8,99.6,30,13.5
197,27.8,4.259,719.3,99.4,32,13.3
198,19,4.396,725.5,100,37,10.1
199,20.6,3.353,709,100.3,42,9.5
200,22.8,3.394,662.7,100,36,10
201,22.1,3.571,536.9,99.9,36,8.7
202,20.3,4.15,592.3,100.4,42,8.7
203,21.8,3.708,728.5,100.4,37,10.5
204,24.1,3.868,704.4,100,33,11.3
205,24.8,3.899,655.4,99.9,36,10.9
206,24.9,3.776,718.8,100,34,11.7
207,25.4,3.453,702.6,99.8,31,11.6
208,25.6,3.59,685,99.8,33,11.4
209,25.9,4.209,714.8,99.8,30,12.9
210,24.8,4.774,711,99.8,32,12.9
211,25,3.845,707.1,99.9,32,12
